empresa_id,fecha,flujo_neto,margen_operativo,gasto_promedio
E001,2023-01-31,37064371.919999994,0.5247069104752633,85074.57984524049
E001,2023-02-28,38959690.05,0.5247069104752633,85074.57984524049
E001,2023-03-31,53223688.140000015,0.5247069104752633,85074.57984524049
E001,2023-04-30,50734170.650000006,0.5247069104752633,85074.57984524049
E001,2023-05-31,38394816.10999999,0.5247069104752633,85074.57984524049
E001,2023-06-30,45473789.519999996,0.5247069104752633,85074.57984524049
E001,2023-07-31,38117804.599999994,0.5247069104752633,85074.57984524049
E001,2023-08-31,60917890.760000005,0.5247069104752633,85074.57984524049
E001,2023-09-30,45805142.11000001,0.5247069104752633,85074.57984524049
E001,2023-10-31,31189961.879999995,0.5247069104752633,85074.57984524049
E001,2023-11-30,48512589.980000004,0.5247069104752633,85074.57984524049
E001,2023-12-31,53831339.25,0.5247069104752633,85074.57984524049
E001,2024-01-31,51339108.4,0.5247069104752633,85074.57984524049
E001,2024-02-29,39780744.64000001,0.5247069104752633,85074.57984524049
E001,2024-03-31,46329895.650000006,0.5247069104752633,85074.57984524049
E001,2024-04-30,34502653.38000001,0.5247069104752633,85074.57984524049
E001,2024-05-31,36439127.27999999,0.5247069104752633,85074.57984524049
E001,2024-06-30,38106916.110000014,0.5247069104752633,85074.57984524049
E001,2024-07-31,42275619.58000001,0.5247069104752633,85074.57984524049
E001,2024-08-31,37453334.379999995,0.5247069104752633,85074.57984524049
E001,2024-09-30,44116321.39,0.5247069104752633,85074.57984524049
E001,2024-10-31,36762420.13,0.5247069104752633,85074.57984524049
E001,2024-11-30,35219600.84999999,0.5247069104752633,85074.57984524049
E001,2024-12-31,36615561.150000006,0.5247069104752633,85074.57984524049
E001,2025-01-31,49307293.20000001,0.5247069104752633,85074.57984524049
E001,2025-02-28,51152537.25999999,0.5247069104752633,85074.57984524049
E001,2025-03-31,44393856.30999999,0.5247069104752633,85074.57984524049
E001,2025-04-30,47084256.84,0.5247069104752633,85074.57984524049
E001,2025-05-31,43475924.79999999,0.5247069104752633,85074.57984524049
E001,2025-06-30,36491924.04000001,0.5247069104752633,85074.57984524049
E001,2025-07-31,36325128.69000001,0.5247069104752633,85074.57984524049
E001,2025-08-31,27518042.650000013,0.5247069104752633,85074.57984524049
E001,2025-09-30,50521558.5,0.5247069104752633,85074.57984524049
E001,2025-10-31,507956.2999999998,0.5247069104752633,85074.57984524049
E002,2023-01-31,41175366.91999999,0.5163277405627038,84812.99798267822
E002,2023-02-28,23579046.560000002,0.5163277405627038,84812.99798267822
E002,2023-03-31,45326214.67000001,0.5163277405627038,84812.99798267822
E002,2023-04-30,49967808.74,0.5163277405627038,84812.99798267822
